platform,width,critical_path_ns,die_area,total_power_mw
nangate45,4,0.00016250000000000292,438.87215625,3.1025e-05
nangate45,8,0.00040000000000000105,560.8376249999999,6.749999999999997e-05
nangate45,16,0.00987500000000005,-46.42424062500004,-0.00026625
nangate45,32,-0.031812499999999924,-5291.6043875000005,-0.0029749999999999993
sky130hd,4,1.3967250000000002,1837.368328125,7.3375e-05
sky130hd,8,0.4379750000000001,4030.1610093749996,0.0001675
sky130hd,16,-0.2310874999999999,680.21603125,-0.00010500000000000006
sky130hd,32,-0.5802250000000005,-22285.32242499999,-0.006887499999999999
asap7,4,0.046237087499999975,44.0668285,0.0053
asap7,8,0.03885359999999997,65.4245485,0.0085
asap7,16,0.008400687499999976,127.30723500000002,0.020000000000000004
asap7,32,-0.00459895000000006,293.8906606250002,0.030750000000000013
