family,width,signed,status,critical_path_ns,die_area,total_power_mw,result_path
brentkung,4,unsigned,ok,0.1664,872.316225,5.9e-05,runs/prefix_adders/adder_brentkung_4u_wrapper/work/ef9c722d/result.json
brentkung,8,unsigned,ok,0.1782,1698.2641,0.000107,runs/prefix_adders/adder_brentkung_8u_wrapper/work/ef9c722d/result.json
brentkung,16,unsigned,ok,0.198,3402.972225,0.000226,runs/prefix_adders/adder_brentkung_16u_wrapper/work/ef9c722d/result.json
brentkung,32,unsigned,ok,0.213,6688.786225,0.000481,runs/prefix_adders/adder_brentkung_32u_wrapper/work/ef9c722d/result.json
brentkung,64,unsigned,ok,2.8643,13205.457225,0.000976,runs/prefix_adders/adder_brentkung_64u_wrapper/work/ef9c722d/result.json
koggestone,4,unsigned,ok,0.1663,980.3161,6.32e-05,runs/prefix_adders/adder_koggestone_4u_wrapper/work/ef9c722d/result.json
koggestone,8,unsigned,ok,0.1787,2121.984225,0.000126,runs/prefix_adders/adder_koggestone_8u_wrapper/work/ef9c722d/result.json
koggestone,16,unsigned,ok,0.1907,4238.661025,0.000252,runs/prefix_adders/adder_koggestone_16u_wrapper/work/ef9c722d/result.json
koggestone,32,unsigned,ok,0.2152,9069.705225,0.000554,runs/prefix_adders/adder_koggestone_32u_wrapper/work/ef9c722d/result.json
koggestone,64,unsigned,ok,0.2507,17669.055625,0.00112,runs/prefix_adders/adder_koggestone_64u_wrapper/work/ef9c722d/result.json
ripple,4,unsigned,failed,,,,runs/prefix_adders/adder_ripple_4u_wrapper/work/d42f7319/result.json
ripple,4,unsigned,ok,0.1664,872.316225,5.9e-05,runs/prefix_adders/adder_ripple_4u_wrapper/work/ef9c722d/result.json
ripple,8,unsigned,ok,0.1767,1628.526025,0.000103,runs/prefix_adders/adder_ripple_8u_wrapper/work/ef9c722d/result.json
ripple,16,unsigned,ok,0.1908,3115.8724,0.000207,runs/prefix_adders/adder_ripple_16u_wrapper/work/ef9c722d/result.json
ripple,32,unsigned,ok,2.5169,6055.174225,0.000445,runs/prefix_adders/adder_ripple_32u_wrapper/work/ef9c722d/result.json
ripple,64,unsigned,ok,4.8917,11883.1801,0.000942,runs/prefix_adders/adder_ripple_64u_wrapper/work/ef9c722d/result.json
sklansky,4,unsigned,ok,0.1659,926.289225,6.09e-05,runs/prefix_adders/adder_sklansky_4u_wrapper/work/ef9c722d/result.json
sklansky,8,unsigned,ok,0.1781,1854.594225,0.000113,runs/prefix_adders/adder_sklansky_8u_wrapper/work/ef9c722d/result.json
sklansky,16,unsigned,ok,0.1887,3903.125625,0.000237,runs/prefix_adders/adder_sklansky_16u_wrapper/work/ef9c722d/result.json
sklansky,32,unsigned,ok,0.2126,7879.225225,0.000514,runs/prefix_adders/adder_sklansky_32u_wrapper/work/ef9c722d/result.json
sklansky,64,unsigned,ok,0.2533,15598.761025,0.00101,runs/prefix_adders/adder_sklansky_64u_wrapper/work/ef9c722d/result.json
